rank,title,studio,gross,year
11582,No Regret,Reg.,"$15,347",2008
11583,Full-Tilt Boogie,Mira.,"$15,313",1998
11584,Only the Young,Osci.,"$15,312",2012
11585,Kelly & Cal,IFC,"$15,297",2014
11586,Seaside,FRun,"$15,290",2003
11587,Harry and Max,TLA,"$15,247",2005
11588,Descent,CityL,"$15,233",2007
11589,Off the Lip,Hann.,"$15,217",2004
11590,The Apple,NYer,"$15,207",1999
11591,All Hat,All.,"$15,198",2008
11592,Glory Daze,7Art,"$15,134",1996
11593,17 Girls,Strand,"$15,123",2012
11594,Kung Fu Joe,Indic.,"$15,120",2012
11595,Nora,And.,"$15,120",2001
11596,El Inmigrante,Indic.,"$15,100",2007
11597,Trade of Innocents,Mont.,"$15,091",2012
11598,Khachaturian,7Art,"$15,084",2003
11599,Drive,MEI,"$15,084",1992
11600,The Education of Charlie Banks,Anch.,"$15,078",2009
11601,Barefoot,RAtt.,"$15,071",2014
11602,"Blood, Guts, Bullets & Octane",Lions,"$15,035",1999
11603,I'm Not Jesus Mommy,FDem,"$15,005",2011
11604,The Tenant (2011),Indic.,"$15,003",2011
11605,My First Wedding,Indic.,"$14,982",2006
11606,Hannari - Geisha Modern,Saku.,"$14,974",2006
11607,I Declare War,Drft.,"$14,928",2013
11608,Dry Cleaning,Strand,"$14,919",1999
11609,Millennium Mambo,Palm,"$14,904",2003
11610,Ong Bak 3,Magn.,"$14,890",2011
11611,Chocolate,Magn.,"$14,845",2009
11612,Jayne Mansfield's Car,Anch.,"$14,836",2013
11613,A Tale of Two Pizzas,CCr.,"$14,831",2005
11614,Reeseville,Inn.,"$14,824",2004
11615,Horses of God,KL,"$14,817",2014
11616,Last Passenger,Cohen,"$14,806",2014
11617,Shem,HP,"$14,804",2006
11618,The Break,Castle,"$14,760",1998
11619,Kiss of the Damned,Magn.,"$14,752",2013
11620,Lion's Den,Strand,"$14,739",2009
11621,Two Ninas,Castle,"$14,725",2001
11622,Circus,Sony,"$14,693",2000
11623,30 Beats,RAtt.,"$14,693",2012
11624,La Cucaracha,Wht.,"$14,692",1999
11625,Unraveled,GD,"$14,615",2012
11626,The Next Big Thing,Castle,"$14,600",2002
11627,Tristana (2012 re-release),Cohen,"$14,586",2012
11628,Silent Night,Anch.,"$14,567",2012
11629,Armadillo,Lorb.,"$14,566",2011
11630,The Settlers,FRun,"$14,556",2002
11631,Wall,Life,"$14,541",2005
11632,Hard Core Logo,Cow.,"$14,540",1998
11633,Who Killed Bambi?,Strand,"$14,532",2004
11634,Carmen Miranda: Bananas Is My Business,IntC,"$14,528",1995
11635,The Ox,Castle,"$14,513",1992
11636,Never Forever,ArtsA,"$14,485",2008
11637,Fallen Idol: The Yuri Gagarin Conspiracy,Indic.,"$14,471",2009
11638,The 24th Day,Scre.,"$14,460",2004
11639,The Two Escobars,ARF,"$14,457",2010
11640,Opal Dream,Strand,"$14,443",2006
11641,Kabei,Strand,"$14,416",2009
11642,Space Dogs 3D,EpicPics,"$14,408",2012
11643,The Unbelievers,CM,"$14,400",2013
11644,A Silent Love,Atop.,"$14,389",2004
11645,The Journey of August King,Mira.,"$14,381",1995
