rank,title,studio,gross,year
1,Avatar,Fox,"$760,507,625",2009^
2,Titanic,Par.,"$658,672,302",1997^
3,Marvel's The Avengers,BV,"$623,357,910",2012
4,The Dark Knight,WB,"$534,858,444",2008^
5,Star Wars: Episode I - The Phantom Menace,Fox,"$474,544,677",1999^
6,Star Wars,Fox,"$460,998,007",1977^
7,The Dark Knight Rises,WB,"$448,139,099",2012
8,Shrek 2,DW,"$441,226,247",2004
9,E.T.: The Extra-Terrestrial,Uni.,"$435,110,554",1982^
10,The Hunger Games: Catching Fire,LGF,"$424,668,047",2013
11,Pirates of the Caribbean: Dead Man's Chest,BV,"$423,315,812",2006
12,The Lion King,BV,"$422,783,777",1994^
13,Toy Story 3,BV,"$415,004,880",2010
14,Iron Man 3,BV,"$409,013,994",2013
15,The Hunger Games,LGF,"$408,010,692",2012
16,Spider-Man,Sony,"$403,706,375",2002
17,Jurassic Park,Uni.,"$402,453,882",1993^
18,Transformers: Revenge of the Fallen,P/DW,"$402,111,870",2009
19,Frozen,BV,"$400,738,009",2013
20,Harry Potter and the Deathly Hallows Part 2,WB,"$381,011,219",2011
21,Finding Nemo,BV,"$380,843,261",2003^
22,Star Wars: Episode III - Revenge of the Sith,Fox,"$380,270,577",2005^
23,The Lord of the Rings: The Return of the King,NL,"$377,845,905",2003^
24,Spider-Man 2,Sony,"$373,585,825",2004
25,The Passion of the Christ,NM,"$370,782,930",2004^
26,Despicable Me 2,Uni.,"$368,061,265",2013
27,Transformers: Dark of the Moon,P/DW,"$352,390,543",2011
28,The Lord of the Rings: The Two Towers,NL,"$342,551,365",2002^
29,Spider-Man 3,Sony,"$336,530,303",2007
30,Alice in Wonderland (2010),BV,"$334,191,110",2010
31,Guardians of the Galaxy,BV,"$331,854,000",2014
32,Forrest Gump,Par.,"$330,252,182",1994^
33,Shrek the Third,P/DW,"$322,719,944",2007
34,Transformers,P/DW,"$319,246,193",2007
35,Iron Man,Par.,"$318,412,101",2008
36,Harry Potter and the Sorcerer's Stone,WB,"$317,575,550",2001
37,Indiana Jones and the Kingdom of the Crystal Skull,Par.,"$317,101,119",2008
38,The Lord of the Rings: The Fellowship of the Ring,NL,"$315,544,750",2001^
39,Iron Man 2,Par.,"$312,433,331",2010
40,Star Wars: Episode II - Attack of the Clones,Fox,"$310,676,740",2002^
41,Pirates of the Caribbean: At World's End,BV,"$309,420,425",2007
42,Return of the Jedi,Fox,"$309,306,177",1983^
43,Independence Day,Fox,"$306,169,268",1996^
44,Pirates of the Caribbean: The Curse of the Black Pearl,BV,"$305,413,918",2003
45,Skyfall,Sony,"$304,360,277",2012
46,The Hobbit: An Unexpected Journey,WB,"$303,003,568",2012
47,Harry Potter and the Half-Blood Prince,WB,"$301,959,197",2009
48,The Twilight Saga: Eclipse,Sum.,"$300,531,751",2010
49,The Twilight Saga: New Moon,Sum.,"$296,623,634",2009
50,Harry Potter and the Deathly Hallows Part 1,WB,"$295,983,305",2010
51,The Sixth Sense,BV,"$293,506,292",1999
52,Up,BV,"$293,004,164",2009
53,Inception,WB,"$292,576,195",2010
54,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$292,324,737",2012
55,Harry Potter and the Order of the Phoenix,WB,"$292,004,738",2007
56,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,"$291,710,957",2005
57,Man of Steel,WB,"$291,045,518",2013
58,The Empire Strikes Back,Fox,"$290,475,067",1980^
59,Harry Potter and the Goblet of Fire,WB,"$290,013,036",2005
60,"Monsters, Inc.",BV,"$289,916,256",2001^
61,Home Alone,Fox,"$285,761,243",1990
62,The Matrix Reloaded,WB,"$281,576,461",2003
63,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$281,287,133",2011
64,Meet the Fockers,Uni.,"$279,261,160",2004
65,The Hangover,WB,"$277,322,503",2009
66,Gravity,WB,"$274,092,705",2013
67,Monsters University,BV,"$268,492,764",2013
68,Shrek,DW,"$267,665,011",2001
69,The Amazing Spider-Man,Sony,"$262,030,663",2012
70,Harry Potter and the Chamber of Secrets,WB,"$261,988,482",2002
71,The Incredibles,BV,"$261,441,092",2004
72,How the Grinch Stole Christmas,Uni.,"$260,044,825",2000
73,Jaws,Uni.,"$260,000,000",1975
74,Captain America: The Winter Soldier,BV,"$259,766,572",2014
75,The Hobbit: The Desolation of Smaug,WB,"$258,366,855",2013
76,The LEGO Movie,WB,"$257,760,692",2014
77,Star Trek,Par.,"$257,730,019",2009
78,I Am Legend,WB,"$256,393,010",2007
79,The Blind Side,WB,"$255,959,475",2009
80,The Hangover Part II,WB,"$254,464,305",2011
81,Despicable Me,Uni.,"$251,513,985",2010
82,Batman,WB,"$251,188,924",1989
83,Night at the Museum,Fox,"$250,863,268",2006
84,Men in Black,Sony,"$250,690,539",1997
85,Harry Potter and the Prisoner of Azkaban,WB,"$249,541,069",2004
86,Raiders of the Lost Ark,Par.,"$248,159,971",1981^
87,Toy Story 2,BV,"$245,852,179",1999^
88,Transformers: Age of Extinction,Par.,"$245,439,076",2014
89,Cars,BV,"$244,082,982",2006
90,Bruce Almighty,Uni.,"$242,829,261",2003
91,Ghostbusters,Col.,"$242,212,467",1984^
92,Twister,WB,"$241,721,524",1996
93,My Big Fat Greek Wedding,IFC,"$241,438,208",2002
94,Maleficent,BV,"$241,381,217",2014
95,Pirates of the Caribbean: On Stranger Tides,BV,"$241,071,802",2011
96,Shrek Forever After,P/DW,"$238,736,787",2010
97,Fast & Furious 6,Uni.,"$238,679,850",2013
98,Brave,BV,"$237,283,207",2012
99,Oz The Great and Powerful,BV,"$234,911,825",2013
100,Beverly Hills Cop,Par.,"$234,760,478",1984
101,X-Men: The Last Stand,Fox,"$234,362,462",2006
102,War of the Worlds,Par.,"$234,280,354",2005
103,X-Men: Days of Future Past,Fox,"$233,921,534",2014
104,Cast Away,Fox,"$233,632,142",2000
105,The Exorcist,WB,"$232,906,145",1973^
106,The Lost World: Jurassic Park,Uni.,"$229,086,679",1997
107,Star Trek Into Darkness,Par.,"$228,778,661",2013
108,Signs,BV,"$227,966,634",2002
109,Hancock,Sony,"$227,946,274",2008
110,The Bourne Ultimatum,Uni.,"$227,471,070",2007
111,Rush Hour 2,NL,"$226,164,286",2001
112,The Hunger Games: Mockingjay - Part 1,LGF,"$225,693,000",2014
113,WALL-E,BV,"$223,808,164",2008
114,National Treasure: Book of Secrets,BV,"$219,964,115",2007
115,Alvin and the Chipmunks: The Squeakquel,Fox,"$219,614,612",2009
116,Mrs. Doubtfire,Fox,"$219,195,243",1993
117,Beauty and the Beast,BV,"$218,967,620",1991^
118,Ted,Uni.,"$218,815,487",2012
119,King Kong,Uni.,"$218,080,025",2005
120,Ghost,Par.,"$217,631,306",1990
121,How to Train Your Dragon,P/DW,"$217,581,231",2010
122,The Da Vinci Code,Sony,"$217,536,138",2006
123,Aladdin,BV,"$217,350,219",1992
124,Alvin and the Chipmunks,Fox,"$217,326,974",2007
125,Saving Private Ryan,DW,"$216,540,909",1998
126,Madagascar 3: Europe's Most Wanted,P/DW,"$216,391,482",2012
127,Kung Fu Panda,P/DW,"$215,434,591",2008
128,Mission: Impossible II,Par.,"$215,409,889",2000
129,X2: X-Men United,Fox,"$214,949,694",2003
130,Dr. Seuss' The Lorax,Uni.,"$214,030,500",2012
131,Austin Powers in Goldmember,NL,"$213,307,889",2002
132,300,WB,"$210,614,939",2007
133,Back to the Future,Uni.,"$210,609,762",1985
134,Fast Five,Uni.,"$209,837,675",2011
135,Mission: Impossible - Ghost Protocol,Par.,"$209,397,903",2011
136,Wedding Crashers,NL,"$209,255,921",2005
137,Sherlock Holmes,WB,"$209,028,679",2009
138,Dawn of the Planet of the Apes,Fox,"$208,532,326",2014
139,Batman Begins,WB,"$206,852,432",2005^
140,Charlie and the Chocolate Factory,WB,"$206,459,076",2005
141,Ratatouille,BV,"$206,445,654",2007
142,Thor: The Dark World,BV,"$206,362,140",2013
143,Austin Powers: The Spy Who Shagged Me,NL,"$206,040,086",1999
144,Terminator 2: Judgment Day,TriS,"$204,843,345",1991
145,The Amazing Spider-Man 2,Sony,"$202,853,933",2014
146,World War Z,Par.,"$202,359,711",2013
147,The Mummy Returns,Uni.,"$202,019,785",2001
148,Armageddon,BV,"$201,578,182",1998
149,Tangled,BV,"$200,821,936",2010
150,Godzilla (2014),WB,"$200,676,069",2014
151,Superman Returns,WB,"$200,081,192",2006
152,Gone with the Wind,MGM,"$198,676,459",1939^
153,Pearl Harbor,BV,"$198,542,554",2001
154,Monsters Vs. Aliens,P/DW,"$198,351,526",2009
155,Happy Feet,WB,"$198,000,317",2006
156,Indiana Jones and the Last Crusade,Par.,"$197,171,806",1989
157,Ice Age: Dawn of the Dinosaurs,Fox,"$196,573,705",2009
158,Ice Age: The Meltdown,Fox,"$195,330,621",2006
159,Madagascar,DW,"$193,595,521",2005
160,Twilight,Sum.,"$192,769,854",2008
161,Toy Story,BV,"$191,796,233",1995^
162,22 Jump Street,Sony,"$191,719,337",2014
163,Cars 2,BV,"$191,452,396",2011
164,Teenage Mutant Ninja Turtles (2014),Par.,"$191,204,754",2014
165,Men in Black II,Sony,"$190,418,803",2002
166,Wreck-It Ralph,BV,"$189,422,889",2012
167,Grease,Par.,"$188,755,690",1978^
168,Gladiator,DW,"$187,705,427",2000
169,The Croods,Fox,"$187,168,425",2013
170,Sherlock Holmes: A Game of Shadows,WB,"$186,848,418",2011
171,The Day After Tomorrow,Fox,"$186,740,799",2004
172,Mr. & Mrs. Smith,Fox,"$186,336,279",2005
173,Snow White and the Seven Dwarfs,Dis.,"$184,925,486",1937^
174,Dances with Wolves,Orion,"$184,208,848",1990
175,Batman Forever,WB,"$184,031,112",1995
176,The Fugitive,WB,"$183,875,760",1993
177,Ocean's Eleven,WB,"$183,417,150",2001
178,The Polar Express,WB,"$183,373,735",2004^
179,The Simpsons Movie,Fox,"$183,135,014",2007
180,What Women Want,Par.,"$182,811,707",2000
181,The Perfect Storm,WB,"$182,618,434",2000
182,Lincoln,BV,"$182,207,973",2012
183,Liar Liar,Uni.,"$181,410,615",1997
184,Jurassic Park III,Uni.,"$181,171,875",2001
185,Thor,Par.,"$181,030,624",2011
186,Mission: Impossible,Par.,"$180,981,856",1996
187,Planet of the Apes (2001),Fox,"$180,011,740",2001
188,Madagascar: Escape 2 Africa,P/DW,"$180,010,950",2008
189,X-Men Origins: Wolverine,Fox,"$179,883,157",2009
190,Indiana Jones and the Temple of Doom,Par.,"$179,870,271",1984
191,Top Gun,Par.,"$179,800,601",1986^
192,Hitch,Sony,"$179,495,555",2005
193,MIB 3,Sony,"$179,020,854",2012
194,Pretty Woman,BV,"$178,406,268",1990
195,Night at the Museum: Battle of the Smithsonian,Fox,"$177,243,721",2009
196,Tootsie,Col.,"$177,200,000",1982
197,How to Train Your Dragon 2,Fox,"$176,942,978",2014
198,Rise of the Planet of the Apes,Fox,"$176,760,185",2011
199,Captain America: The First Avenger,Par.,"$176,654,505",2011
200,The Karate Kid,Sony,"$176,591,618",2010
201,There's Something About Mary,Fox,"$176,484,651",1998
202,Ice Age,Fox,"$176,387,405",2002
203,The Bourne Supremacy,Uni.,"$176,241,941",2004
204,Crocodile Dundee,Par.,"$174,803,506",1986
205,Apollo 13,Uni.,"$173,837,933",1995^
206,Home Alone 2: Lost in New York,Fox,"$173,585,516",1992
207,Elf,NL,"$173,398,518",2003
208,National Treasure,BV,"$173,008,894",2004
209,Air Force One,Sony,"$172,956,409",1997
210,Rain Man,MGM,"$172,825,435",1988
211,Tron Legacy,BV,"$172,062,763",2010
212,The Matrix,WB,"$171,479,930",1999
213,True Grit,Par.,"$171,243,005",2010
214,Tarzan,BV,"$171,091,819",1999
215,A Beautiful Mind,Uni.,"$170,742,341",2001
216,Chicago,Mira.,"$170,687,518",2002
217,The Help,BV,"$169,708,112",2011
218,Bridesmaids,Uni.,"$169,106,725",2011
219,Quantum of Solace,Sony,"$168,368,427",2008
220,Wild Hogs,BV,"$168,273,550",2007
221,Three Men and a Baby,BV,"$167,780,960",1987
222,Casino Royale,Sony,"$167,445,960",2006
223,Big Hero 6,BV,"$167,209,000",2014
224,Meet the Parents,Uni.,"$166,244,045",2000
225,2012,Sony,"$166,112,167",2009
226,Robin Hood: Prince of Thieves,WB,"$165,493,908",1991
227,Kung Fu Panda 2,P/DW,"$165,249,063",2011
228,Hannibal,MGM,"$165,092,268",2001
229,Catch Me If You Can,DW,"$164,615,351",2002
230,The Proposal,BV,"$163,958,031",2009
231,The Pursuit of Happyness,Sony,"$163,566,459",2006
232,Big Daddy,Sony,"$163,479,795",1999
233,Clash of the Titans (2010),WB,"$163,214,888",2010
234,Batman Returns,WB,"$162,831,698",1992
235,Django Unchained,Wein.,"$162,805,434",2012
236,A Bug's Life,BV,"$162,798,565",1998
237,Grown Ups,Sony,"$162,001,186",2010
238,The Waterboy,BV,"$161,491,646",1998
239,Ice Age: Continental Drift,Fox,"$161,321,843",2012
240,Die Another Day,MGM,"$160,942,139",2002
241,Shark Tale,DW,"$160,861,908",2004
242,Gone Girl,Fox,"$160,757,000",2014
243,The Heat,Fox,"$159,582,188",2013
244,The Sound of Music,Fox,"$158,671,368",1965
245,The Firm,Par.,"$158,348,367",1993
246,The Longest Yard,Par.,"$158,119,460",2005
247,X-Men,Fox,"$157,299,717",2000
248,Scary Movie,Mira.,"$157,019,771",2000
249,Fatal Attraction,Par.,"$156,645,693",1987
250,Who Framed Roger Rabbit,BV,"$156,452,370",1988
251,The Sting,Uni.,"$156,000,000",1973
252,What Lies Beneath,DW,"$155,464,351",2000
253,The Mummy,Uni.,"$155,385,488",1999
254,Snow White and the Huntsman,Uni.,"$155,332,381",2012
255,Fast and Furious,Uni.,"$155,064,265",2009
256,Over the Hedge,P/DW,"$155,019,340",2006
257,Fantastic Four,Fox,"$154,696,080",2005
258,Dr. Seuss' Horton Hears a Who!,Fox,"$154,529,439",2008
259,Jerry Maguire,Sony,"$153,952,592",1996
260,Beverly Hills Cop II,Par.,"$153,665,036",1987
261,Scooby-Doo,WB,"$153,294,164",2002
262,Gremlins,WB,"$153,083,102",1984^
263,Sex and the City,WB (NL),"$152,647,258",2008
264,Runaway Bride,Par.,"$152,257,509",1999
265,Divergent,LG/S,"$150,947,895",2014
266,Rambo: First Blood Part II,TriS,"$150,415,432",1985
267,We're the Millers,WB,"$150,394,119",2013
268,Terminator 3: Rise of the Machines,WB,"$150,371,112",2003
269,G.I. Joe: The Rise of Cobra,Par.,"$150,201,498",2009
270,Neighbors,Uni.,"$150,157,400",2014
271,American Hustle,Sony,"$150,117,807",2013
272,Puss in Boots,P/DW,"$149,260,504",2011
273,Les Miserables (2012),Uni.,"$148,809,770",2012
274,Knocked Up,Uni.,"$148,768,917",2007
275,As Good as It Gets,Sony,"$148,478,011",1997
276,Little Fockers,Uni.,"$148,438,600",2010
277,Megamind,P/DW,"$148,415,853",2010
278,Hotel Transylvania,Sony,"$148,313,048",2012
279,Talladega Nights: The Ballad of Ricky Bobby,Sony,"$148,213,377",2006
280,Gran Torino,WB,"$148,095,302",2008
281,Lethal Weapon 2,WB,"$147,253,986",1989
282,Interstellar,Par.,"$147,090,000",2014
283,X-Men: First Class,Fox,"$146,408,305",2011
284,Paul Blart: Mall Cop,Sony,"$146,336,178",2009
285,True Lies,Fox,"$146,282,411",1994
286,Lilo & Stitch,BV,"$145,794,338",2002
287,American Pie 2,Uni.,"$145,103,595",2001
288,Taken,Fox,"$145,000,989",2009
289,101 Dalmatians,Dis.,"$144,880,014",1961^
290,The Great Gatsby (2013),WB,"$144,840,419",2013
291,The Santa Clause,BV,"$144,833,357",1994
292,"I, Robot",Fox,"$144,801,023",2004
293,Lethal Weapon 3,WB,"$144,731,527",1992
294,The Fast and the Furious,Uni.,"$144,533,925",2001
295,Doctor Dolittle,Fox,"$144,156,605",1998
296,Mamma Mia!,Uni.,"$144,130,063",2008
297,Rio,Fox,"$143,619,809",2011
298,Juno,FoxS,"$143,495,265",2007
299,Marley and Me,Fox,"$143,153,751",2008
300,The Smurfs,Sony,"$142,614,158",2011
301,XXX,SonR,"$142,109,382",2002
302,The Jungle Book,Dis.,"$141,843,612",1967^
303,The Chronicles of Narnia: Prince Caspian,BV,"$141,621,490",2008
304,National Lampoon's Animal House,Uni.,"$141,600,000",1978^
305,Pocahontas,BV,"$141,579,773",1995
306,A Few Good Men,Col.,"$141,340,178",1992
307,Slumdog Millionaire,FoxS,"$141,319,928",2008
308,Rush Hour,NL,"$141,186,864",1998
309,The Blair Witch Project,Art.,"$140,539,099",1999
310,Deep Impact,Par.,"$140,464,664",1998
311,Rush Hour 3,NL,"$140,125,968",2007
312,Look Who's Talking,TriS,"$140,088,813",1989
313,Stuart Little,Sony,"$140,035,367",1999
314,Taken 2,Fox,"$139,854,287",2012
315,Sister Act,BV,"$139,605,150",1992
316,The Matrix Revolutions,WB,"$139,313,948",2003
317,The Santa Clause 2,BV,"$139,236,327",2002
318,The King's Speech,Wein.,"$138,797,449",2010^
319,Cheaper by the Dozen,Fox,"$138,614,544",2003
320,Bad Boys II,Sony,"$138,608,444",2003
321,Platoon,Orion,"$138,530,565",1986
322,21 Jump Street,Sony,"$138,447,667",2012
323,Good Will Hunting,Mira.,"$138,433,435",1997
324,A Christmas Carol (2009),BV,"$137,855,863",2009
325,Dinosaur,BV,"$137,748,063",2000
326,The Conjuring,WB,"$137,400,141",2013
327,Click,SonR,"$137,355,633",2006
328,The Green Mile,WB,"$136,801,374",1999
329,Ransom,BV,"$136,492,681",1996
330,Godzilla,Sony,"$136,314,294",1998
331,101 Dalmatians (1996),BV,"$136,189,294",1996
332,Argo,WB,"$136,025,503",2012
333,Anger Management,SonR,"$135,645,823",2003
334,Chicken Little,BV,"$135,386,665",2005
335,Teenage Mutant Ninja Turtles,NL,"$135,265,915",1990
336,Patch Adams,Uni.,"$135,026,902",1998
337,The Godfather,Par.,"$134,966,411",1972^
338,Ride Along,Uni.,"$134,938,200",2014
339,The Incredible Hulk,Uni.,"$134,806,913",2008
340,Live Free or Die Hard,Fox,"$134,529,403",2007
341,Wanted,Uni.,"$134,508,551",2008
342,Identity Thief,Uni.,"$134,506,920",2013
343,Superman,WB,"$134,218,018",1978
344,The Rock,BV,"$134,069,511",1996
345,Mission: Impossible III,Par.,"$134,029,801",2006
346,Grown Ups 2,Sony,"$133,668,525",2013
347,Troy,WB,"$133,378,256",2004
348,Angels & Demons,Sony,"$133,375,846",2009
349,Alvin and the Chipmunks: Chipwrecked,Fox,"$133,110,742",2011
350,Bringing Down the House,BV,"$132,716,677",2003
351,The Wolverine,Fox,"$132,556,852",2013
352,The Departed,WB,"$132,384,315",2006
353,Hulk,Uni.,"$132,177,234",2003
354,Silver Linings Playbook,Wein.,"$132,092,958",2012
355,Close Encounters of the Third Kind,Col.,"$132,088,635",1977^
356,Minority Report,Fox,"$132,072,926",2002
357,Fantastic Four: Rise of the Silver Surfer,Fox,"$131,921,738",2007
358,The Last Airbender,Par.,"$131,772,187",2010
359,Rio 2,Fox,"$131,538,435",2014
360,Lara Croft: Tomb Raider,Par.,"$131,168,070",2001
361,The Silence of the Lambs,Orion,"$130,742,922",1991
362,"Honey, I Shrunk the Kids",BV,"$130,724,172",1989
363,The Flintstones,Uni.,"$130,531,208",1994
364,Lethal Weapon 4,WB,"$130,444,603",1998
365,Get Smart,WB,"$130,319,208",2008
366,American Gangster,Uni.,"$130,164,645",2007
367,American Beauty,DW,"$130,096,601",1999
368,An Officer and a Gentleman,Par.,"$129,795,554",1982
369,The Ring,DW,"$129,128,133",2002
370,The Nutty Professor (1996),Uni.,"$128,814,019",1996
371,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,"$128,505,958",2006
372,Robots,Fox,"$128,200,012",2005
373,Coming to America,Par.,"$128,152,301",1988
374,"Crouching Tiger, Hidden Dragon",SPC,"$128,078,872",2000
375,Shutter Island,Par.,"$128,012,934",2010
376,Rocky IV,UA,"$127,873,716",1985
377,Enchanted,BV,"$127,807,262",2007
378,The Curious Case of Benjamin Button,Par.,"$127,509,326",2008
379,Anchorman 2: The Legend Continues,Par.,"$127,352,707",2013^
380,Sweet Home Alabama,BV,"$127,223,418",2002
381,Dumb and Dumber,NL,"$127,175,374",1994
382,2 Fast 2 Furious,Uni.,"$127,154,901",2003
383,My Best Friend's Wedding,Sony,"$127,120,029",1997
384,Super 8,Par.,"$127,004,179",2011
385,The World Is Not Enough,MGM,"$126,943,684",1999
386,Smokey and the Bandit,Uni.,"$126,737,428",1977
387,Sleepless in Seattle,TriS,"$126,680,884",1993
388,Lucy,Uni.,"$126,663,600",2014
389,Bee Movie,P/DW,"$126,631,277",2007
390,Prometheus,Fox,"$126,477,084",2012
391,Safe House,Uni.,"$126,373,434",2012
392,Mr. Deeds,Sony,"$126,293,452",2002
393,The Truman Show,Par.,"$125,618,201",1998
394,Erin Brockovich,Uni.,"$125,595,205",2000
395,Ocean's Twelve,WB,"$125,544,280",2004
396,Terminator Salvation,WB,"$125,322,469",2009
397,Charlie's Angels,Sony,"$125,305,545",2000
398,Tomorrow Never Dies,MGM,"$125,304,276",1997
399,Lone Survivor,Uni.,"$125,095,601",2013
400,Rocky III,UA,"$125,049,125",1982^
401,The Vow,SGem,"$125,014,030",2012
402,Life of Pi,Fox,"$124,987,023",2012
403,The Fault in our Stars,Fox,"$124,872,350",2014
404,Cloudy with a Chance of Meatballs,Sony,"$124,870,275",2009
405,The Devil Wears Prada,Fox,"$124,740,460",2006
406,Something's Gotta Give,Sony,"$124,728,738",2003
407,Traffic,USA,"$124,115,725",2000
408,The Birdcage,MGM,"$124,060,553",1996
409,City Slickers,Col.,"$124,033,791",1991
410,"Good Morning, Vietnam",BV,"$123,922,370",1987
411,Rango,Par.,"$123,477,607",2011
412,The Nutty Professor II: The Klumps,Uni.,"$123,309,890",2000
413,G.I. Joe: Retaliation,Par.,"$122,523,060",2013
414,Clear and Present Danger,Par.,"$122,187,717",1994
415,The Hunt for Red October,Par.,"$122,012,643",1990
416,The Bodyguard,WB,"$122,006,740",1992^
417,Wayne's World,Par.,"$121,697,323",1992
418,The Bourne Identity,Uni.,"$121,661,683",2002
419,Superbad,Sony,"$121,463,226",2007
420,Speed,Fox,"$121,248,145",1994
421,50 First Dates,Sony,"$120,908,074",2004
422,Mulan,BV,"$120,620,254",1998
423,Inglourious Basterds,Wein.,"$120,540,719",2009
424,Seabiscuit,Uni.,"$120,277,854",2003
425,Van Helsing,Uni.,"$120,177,084",2004
426,Four Christmases,WB (NL),"$120,146,040",2008
427,I Now Pronounce You Chuck and Larry,Uni.,"$120,059,556",2007
428,The Mask,NL,"$119,938,730",1994
429,Cloudy with a Chance of Meatballs 2,Sony,"$119,793,567",2013
430,Hook,TriS,"$119,654,823",1991
431,Blazing Saddles,WB,"$119,601,481",1974^
432,Walk the Line,Fox,"$119,519,402",2005
433,G-Force,BV,"$119,436,770",2009
434,Total Recall,Sony,"$119,412,921",1990^
435,On Golden Pond,Uni.,"$119,285,432",1981
436,The Other Guys,Sony,"$119,219,978",2010
437,Fahrenheit 9/11,Lions,"$119,194,771",2004
438,The Sum of All Fears,Par.,"$118,907,036",2002
439,Hairspray (2007),NL,"$118,871,849",2007
440,The Break-Up,Uni.,"$118,703,275",2006
441,Lemony Snicket's A Series of Unfortunate Events,Par.,"$118,634,549",2004
442,Blades of Glory,P/DW,"$118,594,548",2007
443,Back to the Future Part II,Uni.,"$118,450,002",1989
444,Salt,Sony,"$118,311,368",2010
445,Basic Instinct,TriS,"$117,727,224",1992
446,Now You See Me,LG/S,"$117,723,989",2013
447,Big Momma's House,Fox,"$117,559,438",2000
448,Die Hard 2: Die Harder,Fox,"$117,540,947",1990
449,Horrible Bosses,WB (NL),"$117,538,559",2011
450,Rocky,UA,"$117,235,147",1976
451,Jackass 3-D,Par.,"$117,229,692",2010
452,Ocean's Thirteen,WB,"$117,154,724",2007
453,S.W.A.T.,Sony,"$116,934,650",2003
454,The Wolf of Wall Street,Par.,"$116,900,694",2013
455,8 Mile,Uni.,"$116,750,901",2002
456,Double Jeopardy,Par.,"$116,741,558",1999
457,Lee Daniels' The Butler,Wein.,"$116,632,095",2013
458,Green Lantern,WB,"$116,601,172",2011
459,Notting Hill,Uni.,"$116,089,678",1999
460,The Towering Inferno,Fox,"$116,000,000",1974
461,You've Got Mail,WB,"$115,821,495",1998
462,Ghost Rider,Sony,"$115,802,596",2007
463,Remember the Titans,BV,"$115,654,751",2000
464,District 9,TriS,"$115,646,235",2009
465,The Karate Kid Part II,Col.,"$115,103,979",1986
466,American Graffiti,Uni.,"$115,000,000",1973
467,Big,Fox,"$114,968,774",1988
468,DodgeBall: A True Underdog Story,Fox,"$114,326,736",2004
469,The Village,BV,"$114,197,520",2004
470,Bolt,BV,"$114,053,579",2008
471,Wild Wild West,WB,"$113,804,681",1999
472,Magic Mike,WB,"$113,721,571",2012
473,The Addams Family,Par.,"$113,502,426",1991
474,The Patriot,Sony,"$113,330,342",2000
475,The Bourne Legacy,Uni.,"$113,203,870",2012
476,The Pacifier,BV,"$113,086,868",2005
477,Dr. Dolittle 2,Fox,"$112,952,899",2001
478,The Rocky Horror Picture Show,Fox,"$112,892,319",1975
479,It's Complicated,Uni.,"$112,735,375",2009
480,Spy Kids,Mira.,"$112,719,001",2001
481,Ghostbusters II,Col.,"$112,494,738",1989
482,Face/Off,Par.,"$112,276,146",1997
483,The Hangover Part III,WB,"$112,200,072",2013
484,Twins,Uni.,"$111,938,388",1988
485,Spy Kids 3D: Game Over,Dim.,"$111,761,982",2003
486,Doctor Zhivago,MGM,"$111,721,910",1965
487,Enemy of the State,BV,"$111,549,836",1998
488,The Little Mermaid,BV,"$111,543,479",1989^
489,Mr. Peabody & Sherman,Fox,"$111,506,430",2014
490,Porky's,Fox,"$111,289,673",1982^
491,The Last Samurai,WB,"$111,127,263",2003
492,Tropic Thunder,P/DW,"$110,515,313",2008
493,Valentine's Day,WB,"$110,485,654",2010
494,The Grudge,Sony,"$110,359,362",2004
495,Fun with Dick and Jane,Sony,"$110,332,737",2005
496,Freaky Friday,BV,"$110,230,332",2003
497,Bedtime Stories,BV,"$110,101,975",2008
498,Scary Movie 3,Dim.,"$110,003,217",2003
499,Star Trek IV: The Voyage Home,Par.,"$109,713,132",1986
500,The 40-Year-Old Virgin,Uni.,"$109,449,237",2005
501,Crocodile Dundee II,Par.,"$109,306,210",1988
502,Couples Retreat,Uni.,"$109,204,945",2009
503,One Flew Over the Cuckoo's Nest,UA,"$108,981,275",1975
504,A Time to Kill,WB,"$108,766,007",1996
505,Black Hawk Down,SonR,"$108,638,745",2001
506,Terms of Endearment,Par.,"$108,423,489",1983
507,Ace Ventura: When Nature Calls,WB,"$108,385,533",1995
508,The Princess Diaries,BV,"$108,248,956",2001
509,Superman II,WB,"$108,185,706",1981
510,Hop,Uni.,"$108,085,305",2011
511,Pulp Fiction,Mira.,"$107,928,762",1994
512,Paranormal Activity,Par.,"$107,918,810",2009
513,A League of Their Own,Sony,"$107,533,928",1992
514,Epic,Fox,"$107,518,682",2013
515,Watchmen,WB,"$107,509,799",2009
516,Batman and Robin,WB,"$107,325,195",1997
517,Captain Phillips,Sony,"$107,100,855",2013
518,Black Swan,FoxS,"$106,954,678",2010
519,Analyze This,WB,"$106,885,658",1999
520,Chicken Run,DW,"$106,834,564",2000
521,Miss Congeniality,WB,"$106,807,667",2000
522,Indecent Proposal,Par.,"$106,614,059",1993
523,Driving Miss Daisy,WB,"$106,593,296",1989
524,300: Rise of An Empire,WB,"$106,580,051",2014
525,GoldenEye,MGM,"$106,429,941",1995
526,Love Story,Par.,"$106,397,186",1970
527,Kramer Vs. Kramer,Col.,"$106,260,000",1979
528,The Italian Job,Par.,"$106,128,601",2003
